ID,长度,FEATUREID,CHFCAC,GZEAB,KCDDEF,GZEEB,GZECD,GZECE,GZEHG,GZAG,GZEEE,GZELD,GZEEC,GZEKG,GZEHH,PKIGJ,geometry,length_m,length_km,azimuth_deg,strike_deg,source_file,type_code,GZEEI,GZEEJ,GZEGD,MDLMA,GZEDRA,GZEEBM,GZEAD,YGGBDG,MDLZZ,GZEAH,GCJFBS,GZECC,GZEEL,KCDDEE,QDHOBC,GGAAJC,GGDDKY,KCDDEN,MDLZD
12,0.026965907043645397,OFBA003C1AJ430010020000012,000012,,2.665271282196045,05,,0.0,"D2t,K1kz",101,101,101,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.26213394386653 40.00000002001433, 74.26212804411014 39.999992959850765, 74.25413111961925 39.992321842010185, 74.24813787553572 39.98653400018017, 74.24521140548667 39.983641984308804, 74.24335393772724 39.981625693170834, 74.24290540409221 39.98110432512226)",2664.133483613954,2.664133483613954,218.53174284191456,38.531742841914564,LDZOFBA003.WL,05,,,,,,,,,,,,,,,,,,,
13,0.0940497999491031,OFBA003C1AJ430010020000013,000013,,9.419315338134766,05,,0.0,"C2kk,C2ak",101,101,101,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.20840524141165 39.93098762225655, 74.21223306712203 39.936355019072714, 74.21473583379422 39.939934973987484, 74.21713972610632 39.94249075697319, 74.22068186538802 39.94596661445941, 74.22448387346202 39.94997499904646, 74.22749308399267 39.95343999882551, 74.22844880517309 39.954832170865224, 74.23291316506888 39.96019719079704, 74.23492564074235 39.9633224460009, 74.23554157402356 39.96447743519179, 74.23859165626544 39.96876377621842, 74.24194711120381 39.9728819151331, 74.24407702780525 39.97584628960154, 74.24624997815145 39.978163833368065, 74.24998916743783 39.98181083280677, 74.25642565707305 39.98775893289469, 74.26158504448956 39.992987510900846, 74.2665537294597 39.996491745841396, 74.27141708618407 40.00000001651511)",9415.642558682188,9.415642558682189,35.57862295063184,35.57862295063184,LDZOFBA003.WL,05,,,,,,,,,,,,,,,,,,,
14,0.17623464544516512,OFBA003C1AJ430010020000014,000014,,17.671905517578125,01,,0.0,"K1kz,C2kk,C2ak",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.28036177141523 40.00000003312652, 74.26757323429328 39.99067299384852, 74.26664503726323 39.98951022695533, 74.26531687897317 39.98777790307114, 74.26170343311314 39.98414742812236, 74.26096108742088 39.983293139775014, 74.25942977184695 39.98170210319295, 74.25664677633338 39.97885226307803, 74.25606271610978 39.978305358491355, 74.25556907618778 39.977781949238114, 74.25492333469657 39.97718712766613, 74.2535359368484 39.97623525139124, 74.2502772111532 39.973546126911835, 74.24860502899186 39.9721173280885, 74.24577986391533 39.9694505144847, 74.24285743921796 39.9663599301425, 74.23962152297615 39.96225218743845, 74.23620099757933 39.95703175269659, 74.23526223378222 39.955703514374314, 74.23383951145978 39.953402854791946, 74.23205459308419 39.949987499749994, 74.23051187980379 39.946690022253165, 74.22951368451004 39.94426302084756, 74.22933321630936 39.94350134709798, 74.22893577421576 39.94264433101515, 74.22759896337534 39.940239794490694, 74.22658903361288 39.937550405991416, 74.22570337822496 39.93490862856447, 74.2249115573192 39.9314577299183, 74.22462989551398 39.92860273068676, 74.22442544343346 39.92382741632185, 74.22451520843339 39.922928892315895, 74.2245730697359 39.92240869319999, 74.22466171458098 39.92193579457307, 74.22487399290398 39.92153385683095, 74.2253014269412 39.92115560808655, 74.22594111874491 39.920824691958465, 74.2263401226749 39.92070653709802, 74.22728722808174 39.92051754585658, 74.22786712177074 39.9204940057659, 74.22860071144196 39.92054094677465, 74.22939332756873 39.92061146800345, 74.2301272409477 39.920752951239564, 74.23137896085849 39.92091779595736, 74.23244529732457 39.92101179006921, 74.2336056002573 39.92120030380378, 74.23436968204565 39.92148361971442, 74.23611352936453 39.922286564066866, 74.23845778707637 39.92361393451967, 74.24076946763049 39.925249727552234, 74.24411931494494 39.9282361749946, 74.2469795528695 39.93054252133516, 74.24767929527893 39.93082848825859, 74.24837903772406 39.931066856436956, 74.24910509271874 39.931281083026576, 74.24989558504721 39.93142387537399, 74.25056101059548 39.93147151036478, 74.25101732960141 39.93142398514777, 74.25138435672277 39.931281478355544, 74.25166009727444 39.93109146410815, 74.25190556481708 39.93080628094779, 74.25211967823229 39.930449713412884, 74.25218108044356 39.93004542837535, 74.25218371253455 39.92952216011475, 74.25215364665381 39.928880600158266, 74.2518804470749 39.92826429467715, 74.24794933688007 39.92347769308039, 74.24545315112542 39.9203497543491, 74.24478345707165 39.91947299168732, 74.24368736012126 39.91755380641762, 74.24191940456944 39.914300885874695, 74.24134507019939 39.912915459721546, 74.24097395352636 39.91175036725624, 74.24040486900925 39.9088106579871, 74.24048541078663 39.9076393389014, 74.24064994533343 39.906721210060596, 74.24093520350897 39.905961280892946, 74.24122138534806 39.905264662934684, 74.24150649461924 39.90463135398421, 74.2417984084768 39.903624249785246, 74.2422317723335 39.90324447608256, 74.24293346269512 39.903117502851465, 74.24401798885364 39.90299026232096, 74.2450995111626 39.902863011644264, 74.24650708477951 39.9023982045118, 74.24720992670885 39.90210254757962, 74.24824072232433 39.90155366264851, 74.2490519479063 39.90108925703659, 74.25013514808711 39.900202998160694, 74.2520331465438 39.89838972937149, 74.25376125977456 39.89666877067087)",17664.946263330065,17.664946263330066,191.6776756906287,11.67767569062869,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
15,0.013644306134627119,OFBA003C1AJ430010020000015,000015,,1.340593695640564,01,,0.0,"C2ak,C2kk",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.29643052891802 39.998976585061456, 74.29231599031874 39.996298222385924, 74.28911101400716 39.995040375362336, 74.28932715822975 39.99627991859154, 74.29088049138923 39.99999306845349, 74.29088560540949 40.00000003065473)",1340.0169896731443,1.3400169896731442,283.9493766802469,103.94937668024693,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
16,0.0017503128810160598,OFBA003C1AJ430010020000016,000016,,0.16620345413684845,01,,0.0,"C2ak,C2kk",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.29784949208728 40.000000031594574, 74.29784568823654 39.999993099315994, 74.29643052891802 39.998976585061456)",166.13839697602396,0.16613839697602395,227.28943380184583,47.28943380184583,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
17,0.12770924313448306,OFBA003C1AJ430010020000017,000017,,12.417038917541504,01,,0.0,"C2ak,C1y",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.33616583035105 40.00000003327401, 74.33469398537602 39.9988629634752, 74.32997750222745 39.99611307753913, 74.32887397042192 39.99564614007913, 74.3277379825036 39.99515324556593, 74.3255642509682 39.99416741430886, 74.312541605525 39.98763009076755, 74.31170529663137 39.98752641994228, 74.31110374076816 39.98729296103901, 74.31016550893747 39.98695574712016, 74.30919650790429 39.986488780545194, 74.30835741609447 39.986073688981186, 74.30745325124718 39.98558075071019, 74.30397425414597 39.984309558164036, 74.30250154613164 39.983764729449724, 74.30062375998743 39.98285537604213, 74.29971976059988 39.982491328590164, 74.29884597310472 39.98191921079473, 74.29817312733638 39.981060994515886, 74.29705771217918 39.97965709140514, 74.29566716034874 39.977968142380156, 74.29454992825399 39.976799027949575, 74.29384216856566 39.976253641602014, 74.29019168706448 39.973370704897846, 74.28680748357253 39.97102847837816, 74.28271924607193 39.96769086947248, 74.27899000313504 39.96466663141115, 74.27710976873756 39.96302551740527, 74.27378166025368 39.96005617488112, 74.27181362657028 39.95857240722802, 74.27079714112205 39.95779146337605, 74.27015199939812 39.95703653480888, 74.26848344573112 39.95490189580249, 74.26783718339748 39.954120923801604, 74.2669503922673 39.95253293926385, 74.26459316169264 39.94826357577584, 74.26336576441439 39.94576293596697, 74.26298960726365 39.94511141705816, 74.2627152091935 39.94393869272961, 74.26271106254235 39.942844160968626, 74.26277313669424 39.941697510961944, 74.26297185695965 39.94091570931764, 74.26331715572694 39.94029909429722, 74.26375848539428 39.93957193447384, 74.26455368552428 39.938969870944895, 74.26618732535623 39.938189139203246, 74.26705614894563 39.93740354946866, 74.26748984748033 39.93698315837014, 74.26785799039212 39.936159215992525, 74.26774611663056 39.935457785874156, 74.26738655248926 39.934652096947154, 74.26704270223173 39.93418391649918, 74.26666589694338 39.9333314349177, 74.26662785337761 39.932746294928684, 74.26670642052079 39.932102881913465, 74.26668997316958 39.93126338997996, 74.2671874442487 39.930326459506276, 74.26768289467552 39.929765534235905, 74.26817733699245 39.92920460672983, 74.26940241031927 39.92883630423752, 74.27038125864222 39.92846644989107, 74.27136110321477 39.9282845911375, 74.27261303277258 39.92800062516751, 74.27310111510812 39.92777886821784, 74.27487264020876 39.92614122604953, 74.27604769378134 39.92398956639507, 74.27695380162942 39.92263194313326, 74.27846970686441 39.919659968912065)",12412.175852242504,12.412175852242504,209.37153349897233,29.371533498972326,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
18,0.07395349601671171,OFBA003C1AJ430010020000018,000018,,7.247898101806641,01,,0.0,"ChA.,C2ak,C1y,C2kk,J3kz,K1kz,K2Y",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.31215842335205 39.950204378569914, 74.314306436619 39.952459952035696, 74.31871883585208 39.95789261500806, 74.31919453892287 39.95852359963451, 74.32125331242602 39.9612542537192, 74.32452993071729 39.965022866599455, 74.32776869467088 39.9683362259565, 74.33174799514617 39.97252582025324, 74.33467723842455 39.975466058568394, 74.33587717292879 39.976561845486444, 74.3378647358592 39.97837345914619, 74.3388767705132 39.97948666023414, 74.34035413592892 39.98111162775084, 74.34135820602846 39.98190101255211, 74.34327827885355 39.98341047033356, 74.3472755057492 39.986548453049, 74.35231512900774 39.99069807190632, 74.36051470617453 39.99612380731863, 74.36333082074869 39.99814453561231, 74.36621732105019 40.00000000987556)",7244.95031395886,7.24495031395886,40.29402241423843,40.29402241423843,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
19,0.0657564372694283,OFBA003C1AJ430010020000019,000019,,5.659360408782959,05,,76.0,"ChA.,J2t",101,101,101,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.49627302356411 39.99310867693121, 74.49813724355893 39.992878693035905, 74.49933972299256 39.99279716792044, 74.49990701615391 39.99275635468215, 74.50681938572697 39.99292939173653, 74.51637191878598 39.99360977793878, 74.52720362196534 39.99381704968014, 74.52973515408027 39.99389124227814, 74.535497160583 39.994194879204976, 74.54344915636469 39.99529776415885, 74.55219435008459 39.997168355887226, 74.56126816256086 40.00000000363188)",5657.307575096978,5.657307575096978,82.45367780851662,82.45367780851662,LDZOFBA003.WL,05,,,,,,,,,,,,,,,,,,,
20,0.09848844016506433,OFBA003C1AJ430010020000020,000020,,8.491045951843262,01,,0.0,"ChA.,J1k,J1sh,D3kz2",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.80281767314278 40.00000003327712, 74.7915134449626 39.997871816823995, 74.78621153927642 39.99672968980013, 74.78464323244337 39.996389701835014, 74.78358892349793 39.996161127921155, 74.781785706599 39.995914592208315, 74.78079564126988 39.99583111613279, 74.78029350570415 39.99578881863033, 74.7786475078737 39.995582713546625, 74.77648558365094 39.99513543526789, 74.77447948613825 39.9947684302898, 74.77246322596521 39.99451787500979, 74.77075708277756 39.99414871503496, 74.76936130137885 39.993861170752886, 74.76811781817658 39.99357451257676, 74.76656800770576 39.99320619141771, 74.76558153241683 39.99296131608808, 74.76443313875914 39.9926381322489, 74.76333508548244 39.992315109161495, 74.76223727845831 39.99191223310141, 74.76129536417265 39.99154979401884, 74.7587337332919 39.990662915597, 74.75763550042556 39.99041968342441, 74.75632883105833 39.99021565434478, 74.75528258158259 39.990092343561415, 74.75381569133354 39.98996759680034, 74.75291788838727 39.989875928709544, 74.75219593886534 39.98980237434163, 74.74780154078393 39.98946652357483, 74.74600667405717 39.98934082310691, 74.74446071210542 39.98929186282971, 74.7430504744215 39.989165841886525, 74.7405973916308 39.98907896992296, 74.73793538530477 39.988873711775746, 74.73537773411947 39.9887084825811, 74.73297762785771 39.98854355999393, 74.73016218319178 39.98821820540687, 74.72755343766538 39.987972976574675, 74.72546543792875 39.98780863397821, 74.7217593746705 39.98743951913533, 74.72040374266815 39.98731417525899, 74.71873125287728 39.98718730903995, 74.71393547218905 39.98658280996268, 74.7091456156421 39.98592333924909, 74.70570610014323 39.98529844340024)",8487.552976408535,8.487552976408535,259.0230747833666,79.02307478336661,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
21,0.04663468938921948,OFBA003C1AJ430010020000021,000021,,5.03168249130249,28,,53.0,"ChA.,J2y,J1k",101,102,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.86578251453618 39.956727415376, 74.8639264824311 39.960898723011105, 74.86218909267687 39.96476919323103, 74.86062512680392 39.968559558343706, 74.8602854522137 39.96947366022472, 74.8599045517212 39.970812683335474, 74.85977536078502 39.97192395432997, 74.85968734082051 39.97332972859973, 74.85964235491292 39.97437598015262, 74.85963345310071 39.9771555969341, 74.85971100459882 39.97908536464886, 74.85983506107273 39.98049210057165, 74.85991532158697 39.98072192005853, 74.8591772024817 39.98638630480826, 74.85736710459923 39.991227373917205, 74.85315775678471 39.997449181753325, 74.8515359036182 39.999995174189806, 74.85153159543162 40.000000026584665)",5029.666650303017,5.029666650303017,345.8735792639435,165.8735792639435,LDZOFBA003.WL,28,,,,,,,,,,,,,,,,,,,
