ID,fault_code,fault_type_code,dip_angle,numeric_attr,length_m,length_km,azimuth_deg,strike_deg,confidence_code,activity_era_code,occurrence_code,description
49,,01,0.0,2.8395333290100098,2838.4783998581493,2.838478399858149,29.265115219907464,29.265115219907464,101,101,109,"C2ak,C2kk,J3kz,K1kz"
51,,07,0.0,0.7474232316017151,747.1361479564753,0.7471361479564753,6.571487975070534,6.571487975070534,101,101,109,"C2ak,C2kk"
53,,01,0.0,1.1918816566467285,1191.3321272162086,1.1913321272162085,113.45331748836428,113.45331748836428,101,101,109,"D3kz3,D3kz2"
55,,28,0.0,1.6152211427688599,1614.5580335001184,1.6145580335001184,147.5027689917985,147.5027689917985,101,102,109,"J1k,T3t"
56,,01,0.0,5.878159046173096,5875.795992070251,5.875795992070251,175.00190466191805,175.00190466191805,101,101,109,"C2kk,D1s,C2ak,K1kz"
57,,05,65.0,2.58227276802063,2581.1195937710418,2.581119593771042,122.01702935594425,122.01702935594425,101,101,101,J2y
62,,01,0.0,5.454319953918457,5452.186454253966,5.452186454253966,111.7864253959667,111.7864253959667,101,101,109,"D3kz3,D3kz2"
67,,01,0.0,4.59920597076416,4597.427441971074,4.597427441971074,291.03108783900007,111.03108783900007,101,101,109,"D3kz3,D2t,C2ak,D3kz2,K1kz,J3kz"
69,,01,50.0,12.434046745300293,12429.200081331297,12.429200081331297,286.1454520763789,106.14545207637889,101,101,109,"J1sh,J1k,D3kz3"
72,,05,0.0,3.904519557952881,3902.9782115081257,3.9029782115081257,39.06478369086291,39.06478369086291,101,101,101,"C2ak,K1kz,K2Y,N1k,C2kk,C1y"
74,,05,50.0,13.272939682006836,13267.767971875202,13.267767971875202,299.0325084400851,119.03250844008511,101,101,101,"D3kz3,J1k,J1sh"
80,,01,80.0,11.181625366210938,11177.277421801702,11.177277421801701,12.622072065374285,12.622072065374285,101,101,109,"D1s,D2t"
82,,01,0.0,0.4888775646686554,488.6284471056274,0.4886284471056274,42.45029410251891,42.45029410251891,101,101,109,K2Y
87,,05,0.0,0.6087192296981812,608.4332092413781,0.6084332092413781,322.33679950682904,142.33679950682904,101,101,101,"K1kz,C2kk"
90,,28,0.0,0.9675419330596924,967.146066761546,0.967146066761546,150.79180026471144,150.79180026471144,101,102,109,"J1k,T3t"
91,,01,70.0,26.57538414001465,26564.896853723436,26.564896853723436,21.894548506817088,21.894548506817088,101,101,109,"D1s,D2t"
92,,01,0.0,1.9492861032485962,1948.6093648820934,1.9486093648820935,89.1129389072426,89.1129389072426,101,101,109,"D1s,D2t"
94,,01,0.0,10.497974395751953,10493.846210162556,10.493846210162555,106.25335515053666,106.25335515053666,101,101,109,"ChA.,D3kz2,D3kz3,J3kz,D3kz1"
100,,31,0.0,0.7390732169151306,738.7814871574038,0.7387814871574039,275.08174292916226,95.08174292916226,101,101,109,"K2Y,EK"
103,,28,0.0,8.598916053771973,8595.537102766779,8.595537102766778,27.755856332872963,27.755856332872963,101,102,109,"ChA.,D3kz1"
104,,31,0.0,2.218073606491089,2217.362045978349,2.217362045978349,249.22049979898486,69.22049979898486,101,101,109,"K2Y,N1k"
106,,05,0.0,2.8976895809173584,2896.5653904570245,2.8965653904570243,343.16692610025433,163.16692610025433,101,101,101,"C2kk,K2Y,EK"
110,,31,0.0,4.756041526794434,4754.17673364832,4.75417673364832,304.6779227853879,124.67792278538792,101,101,109,"K1kz,K2Y"
113,,01,0.0,6.104623794555664,6102.269061863169,6.1022690618631685,246.16020465467392,66.16020465467392,101,101,109,"D3kz2,D3kz3,J1sh,J1k"
117,,28,73.0,5.7209882736206055,5718.764676575044,5.718764676575044,133.4950330118304,133.4950330118304,101,102,109,"J1k,T3t"
120,,31,0.0,0.12410154193639755,123.89865839367225,0.12389865839367226,244.7551676394603,64.7551676394603,101,101,109,"ChA.,K1kz"
121,,31,0.0,2.5144646167755127,2513.5451217349682,2.513545121734968,191.4871978358021,11.487197835802107,101,101,109,"ChA.,K1kz"
124,,31,0.0,9.422953605651855,9419.186725518131,9.41918672551813,292.9009147062392,112.90091470623918,101,101,109,"ChA.,K1kz"
127,,31,0.0,8.915604591369629,8911.9868863307,8.9119868863307,231.19943692665257,51.19943692665257,101,101,109,"S3-4t,Qp1X,D1s"
129,,05,69.0,5.249414920806885,5247.25853565503,5.24725853565503,15.66174952606779,15.66174952606779,101,101,101,"D1s,D2t"
131,,01,0.0,13.779556274414062,13774.237145878613,13.774237145878613,354.75184955332304,174.75184955332304,101,101,109,D1s
132,,31,67.0,19.984678268432617,19976.818651949456,19.976818651949454,274.69416185473426,94.69416185473426,101,101,109,"ChA.,D3kz2,EK,J3kz,D3kz1,K1kz,K2Y"
135,,31,0.0,8.71077823638916,8707.484278000275,8.707484278000274,251.95512703760187,71.95512703760187,101,101,109,"D3kz2,J1sh,J1k,D3kz3"
137,,31,0.0,3.582542896270752,3581.23657211077,3.58123657211077,293.45026732605004,113.45026732605004,101,101,109,"J1sh,K1kz,J1k"
146,,31,0.0,1.5715866088867188,1571.1074909598549,1.5711074909598548,306.87971640440753,126.87971640440753,101,101,109,"J1k,K1kz"
151,,28,0.0,0.4715104401111603,471.32768668454213,0.4713276866845421,137.72172165006359,137.72172165006359,101,102,109,"C1y,J1sh"
152,,05,64.0,8.336316108703613,8333.039169111908,8.333039169111908,77.96867675218938,77.96867675218938,101,101,101,"N1k,Qp1X,N1a"
158,,28,0.0,1.1296923160552979,1129.3022084410914,1.1293022084410913,143.87041260501456,143.87041260501456,101,102,109,"T3t,J1sh,C1y"
159,,05,0.0,2.5250349044799805,2524.099861551922,2.524099861551922,16.927407691165012,16.927407691165012,101,101,101,"D1s,D2t"
160,,31,0.0,2.3609917163848877,2360.2232682929684,2.3602232682929682,251.9049887328738,71.90498873287379,101,101,109,"D3kz2,J1k"
161,,31,0.0,1.2433838844299316,1242.8105707902232,1.2428105707902233,279.9237800735525,99.9237800735525,101,101,109,"ChA.,J1sh,J1k"
162,,01,0.0,1.9190077781677246,1918.4228488976028,1.9184228488976027,109.87906634716846,109.87906634716846,101,101,109,"ChA.,D3kz2"
166,,31,0.0,4.294253349304199,4292.665387343156,4.292665387343156,279.56704826134563,99.56704826134563,101,101,109,"ChA.,J1k"
167,,01,0.0,1.5682801008224487,1567.5874867376865,1.5675874867376864,287.7250362581206,107.72503625812061,101,101,109,"J1k,K1kz"
168,,31,0.0,2.640170097351074,2639.2230463411697,2.63922304634117,260.4264352383484,80.4264352383484,101,101,109,"ChA.,D3kz2,J1k"
170,,01,0.0,2.5185911655426025,2517.612229500876,2.517612229500876,275.6291427189566,95.62914271895659,101,101,109,"J1k,K1kz"
171,,05,0.0,26.45926856994629,26448.884076585022,26.44888407658502,59.345995824849886,59.345995824849886,101,101,101,"N2a,N1p"
172,,01,0.0,1.9859575033187866,1985.3501577185357,1.9853501577185357,272.8181227649281,92.81812276492809,101,101,109,"J2y,K1kz"
173,,01,0.0,2.926136016845703,2925.076107810181,2.925076107810181,262.890092307625,82.89009230762503,101,101,109,"J2y,K1kz"
