ID,GZBBGA,strike,dip_dir,dip_angle,dot_strike_tick,angle_deg,label_along_strike_m,label_perp_strike_m
528,202001,99.0,189,56,8.326672684688674e-17,90.0,270.00000000000006,-7.105427357601002e-15
530,202001,141.0,51,37,-5.551115123125783e-17,90.0,270.0,-2.842170943040401e-14
531,202001,120.0,210,50,-3.3306690738754696e-16,89.99999999999999,269.99999999999994,-1.1368683772161603e-13
532,202001,136.0,226,58,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
545,202001,55.0,145,48,-2.7755575615628914e-16,89.99999999999999,270.0,-8.526512829121202e-14
552,202001,112.0,22,42,-5.551115123125783e-17,90.0,270.0,-1.4210854715202004e-14
564,202001,103.0,13,40,-2.7755575615628914e-17,90.0,270.0,0.0
566,202001,141.0,231,25,5.551115123125783e-16,89.99999999999997,270.0,1.4210854715202004e-13
568,202001,162.0,72,43,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
570,202001,156.0,66,20,2.220446049250313e-16,89.99999999999999,269.99999999999994,7.105427357601002e-14
572,202001,134.0,44,64,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
574,202005,38.0,128,65,5.551115123125783e-17,90.0,269.99999999999994,2.842170943040401e-14
575,202005,22.0,292,73,-5.551115123125783e-17,90.0,270.0,-1.4210854715202004e-14
578,202005,34.0,124,71,2.220446049250313e-16,89.99999999999999,270.0,5.684341886080802e-14
599,202001,109.0,19,65,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
600,202001,103.0,13,25,-2.7755575615628914e-17,90.0,270.0,0.0
603,202001,120.0,30,45,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
604,202001,128.0,38,35,5.551115123125783e-17,90.0,270.0,0.0
606,202001,125.0,215,46,1.1102230246251565e-16,90.0,270.0,0.0
608,202001,106.0,16,50,1.1102230246251565e-16,90.0,269.99999999999994,4.263256414560601e-14
610,202001,128.0,218,30,1.1102230246251565e-16,90.0,270.0,5.684341886080802e-14
615,202001,139.0,229,40,0.0,90.0,270.0,0.0
617,202001,95.0,185,18,2.914335439641036e-16,89.99999999999999,270.0,6.394884621840902e-14
619,202001,51.0,321,20,-4.440892098500626e-16,89.99999999999997,270.0,-1.4210854715202004e-13
622,202001,86.0,356,40,-4.0245584642661925e-16,89.99999999999997,270.00000000000006,-1.2434497875801753e-13
624,202001,89.0,359,30,3.8163916471489756e-17,90.0,270.0,-3.552713678800501e-15
625,202001,130.0,40,50,-1.1102230246251565e-16,90.0,270.0,-2.842170943040401e-14
631,202001,118.0,208,49,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
632,202005,88.0,178,54,6.245004513516506e-17,90.0,270.0,1.9539925233402755e-14
639,202005,167.0,77,68,2.7755575615628914e-16,89.99999999999999,269.99999999999994,9.237055564881302e-14
653,202005,155.0,245,67,-3.3306690738754696e-16,89.99999999999999,270.00000000000006,-7.105427357601002e-14
663,202005,133.0,223,53,0.0,90.0,270.0,0.0
670,202005,133.0,223,57,0.0,90.0,270.0,0.0
681,202005,112.0,22,80,-5.551115123125783e-17,90.0,270.00000000000006,1.4210854715202004e-14
687,202001,111.0,21,35,0.0,90.0,269.99999999999994,1.4210854715202004e-14
720,202001,94.0,4,31,-2.7755575615628914e-17,90.0,269.99999999999994,-2.842170943040401e-14
723,202001,105.0,195,22,5.551115123125783e-17,90.0,270.0,4.263256414560601e-14
84,202005,74.0,164,80,5.551115123125783e-17,90.0,270.0,0.0
88,202005,94.0,184,62,5.551115123125783e-17,90.0,270.0,3.197442310920451e-14
92,202001,94.0,184,63,5.551115123125783e-17,90.0,270.0,3.197442310920451e-14
94,202005,129.0,39,60,1.6653345369377348e-16,90.0,269.99999999999994,2.842170943040401e-14
99,202005,74.0,344,50,2.220446049250313e-16,89.99999999999999,270.0,7.105427357601002e-14
103,202005,101.0,11,48,0.0,90.0,270.0,-7.105427357601002e-15
131,202005,68.0,338,56,-4.440892098500626e-16,89.99999999999997,269.99999999999994,-8.526512829121202e-14
134,202005,113.0,203,63,2.220446049250313e-16,89.99999999999999,269.99999999999994,2.842170943040401e-14
152,202005,87.0,357,58,-4.0245584642661925e-16,89.99999999999997,269.99999999999994,-1.1013412404281553e-13
198,202001,82.0,172,46,-1.3877787807814457e-16,90.0,270.0,-4.263256414560601e-14
250,202001,81.0,351,23,-2.220446049250313e-16,89.99999999999999,270.0,-4.973799150320701e-14
256,202001,142.0,232,41,-4.440892098500626e-16,89.99999999999997,270.0,-8.526512829121202e-14
259,202001,112.0,202,76,5.551115123125783e-17,90.0,270.0,1.4210854715202004e-14
258,202001,112.0,202,43,5.551115123125783e-17,90.0,270.00000000000006,-1.4210854715202004e-14
260,202001,131.0,221,41,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
264,202001,96.0,186,54,5.551115123125783e-17,90.0,269.99999999999994,3.907985046680551e-14
266,202001,51.0,141,27,-5.551115123125783e-17,90.0,270.0,0.0
268,202001,106.0,196,48,5.551115123125783e-17,90.0,269.99999999999994,0.0
275,202001,117.0,207,60,0.0,90.0,270.0,0.0
276,202001,113.0,23,60,-5.551115123125783e-17,90.0,269.99999999999994,-1.4210854715202004e-14
282,202001,113.0,23,40,-5.551115123125783e-17,90.0,269.99999999999994,-1.4210854715202004e-14
283,202001,112.0,202,40,5.551115123125783e-17,90.0,270.0,0.0
288,202001,166.0,76,15,5.551115123125783e-17,90.0,270.00000000000006,3.552713678800501e-14
290,202001,125.0,215,25,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
298,202001,53.0,323,40,1.1102230246251565e-16,90.0,270.0,0.0
300,202001,104.0,194,48,2.7755575615628914e-16,89.99999999999999,270.00000000000006,7.815970093361102e-14
304,202001,12.0,102,18,0.0,90.0,270.00000000000006,-2.842170943040401e-14
307,202001,31.0,121,27,-1.1102230246251565e-16,90.0,270.0,-2.842170943040401e-14
313,202001,156.0,246,9,-3.885780586188048e-16,89.99999999999999,270.0,-1.1368683772161603e-13
316,202001,156.0,246,15,-3.885780586188048e-16,89.99999999999999,270.0,-1.1368683772161603e-13
325,202001,77.0,167,40,2.7755575615628914e-16,89.99999999999999,270.0,8.526512829121202e-14
326,202001,130.0,40,47,-1.1102230246251565e-16,90.0,270.0,-2.842170943040401e-14
330,202001,120.0,210,32,-3.3306690738754696e-16,89.99999999999999,269.99999999999994,-1.1368683772161603e-13
337,202001,114.0,204,40,5.551115123125783e-17,90.0,270.0,-1.4210854715202004e-14
338,202001,116.0,206,76,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
339,202001,111.0,21,48,0.0,90.0,270.0,1.4210854715202004e-14
342,202001,84.0,354,67,4.163336342344337e-17,90.0,269.99999999999994,3.552713678800501e-15
343,202001,75.0,165,60,3.3306690738754696e-16,89.99999999999999,270.0,8.526512829121202e-14
346,202001,92.0,182,68,5.551115123125783e-17,90.0,269.99999999999994,-1.0658141036401503e-14
363,202001,131.0,221,57,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
369,202001,111.0,201,70,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
373,202001,109.0,19,40,5.551115123125783e-17,90.0,270.0,1.4210854715202004e-14
375,202001,103.0,193,40,5.551115123125783e-17,90.0,270.0,7.105427357601002e-15
376,202001,98.0,8,55,8.326672684688674e-17,90.0,270.0,4.263256414560601e-14
377,202001,18.0,108,30,1.1102230246251565e-16,90.0,269.99999999999994,1.4210854715202004e-14
