ID,FEATUREID,CHFCAC,GZBBGA,GZBBAB,GZBBAC,GZBBAD,strike_dip_diff
608,OFBA016C1AJ430010020000114,000114,202001,106.0,16,50,90.0
610,OFBA016C1AJ430010020000115,000115,202001,128.0,218,30,90.0
615,OFBA016C1AJ430010020000116,000116,202001,139.0,229,40,90.0
617,OFBA016C1AJ430010020000117,000117,202001,95.0,185,18,90.0
619,OFBA016C1AJ430010020000118,000118,202001,51.0,321,20,90.0
622,OFBA016C1AJ430010020000119,000119,202001,86.0,356,40,90.0
624,OFBA016C1AJ430010020000120,000120,202001,89.0,359,30,90.0
625,OFBA016C1AJ430010020000121,000121,202001,130.0,40,50,90.0
631,OFBA016C1AJ430010020000122,000122,202001,118.0,208,49,90.0
632,OFBA016C1AJ430010020000123,000123,202005,88.0,178,54,90.0
639,OFBA016C1AJ430010020000124,000124,202005,167.0,77,68,90.0
653,OFBA016C1AJ430010020000125,000125,202005,155.0,245,67,90.0
663,OFBA016C1AJ430010020000126,000126,202005,133.0,223,53,90.0
670,OFBA016C1AJ430010020000127,000127,202005,133.0,223,57,90.0
681,OFBA016C1AJ430010020000128,000128,202005,112.0,22,80,90.0
687,OFBA016C1AJ430010020000129,000129,202001,111.0,21,35,90.0
720,OFBA016C1AJ430010020000130,000130,202001,94.0,4,31,90.0
723,OFBA016C1AJ430010020000131,000131,202001,105.0,195,22,90.0
84,OFBA016C1AJ430010020000132,000132,202005,74.0,164,80,90.0
88,OFBA016C1AJ430010020000133,000133,202005,94.0,184,62,90.0
92,OFBA016C1AJ430010020000134,000134,202001,94.0,184,63,90.0
94,OFBA016C1AJ430010020000135,000135,202005,129.0,39,60,90.0
99,OFBA016C1AJ430010020000136,000136,202005,74.0,344,50,90.0
103,OFBA016C1AJ430010020000137,000137,202005,101.0,11,48,90.0
131,OFBA016C1AJ430010020000138,000138,202005,68.0,338,56,90.0
134,OFBA016C1AJ430010020000139,000139,202005,113.0,203,63,90.0
152,OFBA016C1AJ430010020000140,000140,202005,87.0,357,58,90.0
198,OFBA016C1AJ430010020000141,000141,202001,82.0,172,46,90.0
250,OFBA016C1AJ430010020000142,000142,202001,81.0,351,23,90.0
256,OFBA016C1AJ430010020000143,000143,202001,142.0,232,41,90.0
259,OFBA016C1AJ430010020000144,000144,202001,112.0,202,76,90.0
258,OFBA016C1AJ430010020000145,000145,202001,112.0,202,43,90.0
260,OFBA016C1AJ430010020000146,000146,202001,131.0,221,41,90.0
264,OFBA016C1AJ430010020000147,000147,202001,96.0,186,54,90.0
266,OFBA016C1AJ430010020000148,000148,202001,51.0,141,27,90.0
268,OFBA016C1AJ430010020000149,000149,202001,106.0,196,48,90.0
275,OFBA016C1AJ430010020000150,000150,202001,117.0,207,60,90.0
276,OFBA016C1AJ430010020000151,000151,202001,113.0,23,60,90.0
282,OFBA016C1AJ430010020000152,000152,202001,113.0,23,40,90.0
283,OFBA016C1AJ430010020000153,000153,202001,112.0,202,40,90.0
288,OFBA016C1AJ430010020000154,000154,202001,166.0,76,15,90.0
290,OFBA016C1AJ430010020000155,000155,202001,125.0,215,25,90.0
298,OFBA016C1AJ430010020000156,000156,202001,53.0,323,40,90.0
300,OFBA016C1AJ430010020000157,000157,202001,104.0,194,48,90.0
304,OFBA016C1AJ430010020000158,000158,202001,12.0,102,18,90.0
307,OFBA016C1AJ430010020000159,000159,202001,31.0,121,27,90.0
313,OFBA016C1AJ430010020000160,000160,202001,156.0,246,9,90.0
316,OFBA016C1AJ430010020000161,000161,202001,156.0,246,15,90.0
325,OFBA016C1AJ430010020000162,000162,202001,77.0,167,40,90.0
326,OFBA016C1AJ430010020000163,000163,202001,130.0,40,47,90.0
330,OFBA016C1AJ430010020000164,000164,202001,120.0,210,32,90.0
337,OFBA016C1AJ430010020000165,000165,202001,114.0,204,40,90.0
338,OFBA016C1AJ430010020000166,000166,202001,116.0,206,76,90.0
339,OFBA016C1AJ430010020000167,000167,202001,111.0,21,48,90.0
342,OFBA016C1AJ430010020000168,000168,202001,84.0,354,67,90.0
343,OFBA016C1AJ430010020000169,000169,202001,75.0,165,60,90.0
346,OFBA016C1AJ430010020000170,000170,202001,92.0,182,68,90.0
363,OFBA016C1AJ430010020000171,000171,202001,131.0,221,57,90.0
369,OFBA016C1AJ430010020000172,000172,202001,111.0,201,70,90.0
373,OFBA016C1AJ430010020000173,000173,202001,109.0,19,40,90.0
375,OFBA016C1AJ430010020000174,000174,202001,103.0,193,40,90.0
376,OFBA016C1AJ430010020000175,000175,202001,98.0,8,55,90.0
377,OFBA016C1AJ430010020000176,000176,202001,18.0,108,30,90.0
378,OFBA016C1AJ430010020000177,000177,202001,110.0,20,80,90.0
389,OFBA016C1AJ430010020000178,000178,202001,124.0,34,43,90.0
391,OFBA016C1AJ430010020000179,000179,202001,83.0,173,10,90.0
396,OFBA016C1AJ430010020000180,000180,202001,72.0,342,28,90.0
402,OFBA016C1AJ430010020000181,000181,202001,89.0,179,59,90.0
406,OFBA016C1AJ430010020000182,000182,202004,109.0,19,31,90.0
412,OFBA016C1AJ430010020000183,000183,202001,131.0,221,56,90.0
333,OFBA016C1AJ430010020000184,000184,202001,145.0,235,42,90.0
296,OFBA016C1AJ430010020000185,000185,202001,31.0,301,9,90.0
307,OFBA016C1AJ430010020000186,000186,202001,108.0,18,49,90.0
124,OFBA016C1AJ430010020000187,000187,202001,89.0,179,45,90.0
127,OFBA016C1AJ430010020000188,000188,202001,83.0,173,76,90.0
134,OFBA016C1AJ430010020000189,000189,202001,91.0,1,82,90.0
136,OFBA016C1AJ430010020000190,000190,202001,66.0,336,73,90.0
141,OFBA016C1AJ430010020000191,000191,202001,89.0,359,36,90.0
209,OFBA016C1AJ430010020000192,000192,202001,13.0,283,48,90.0
212,OFBA016C1AJ430010020000193,000193,202001,79.0,169,72,90.0
210,OFBA016C1AJ430010020000194,000194,202001,72.0,342,50,90.0
249,OFBA016C1AJ430010020000195,000195,202001,91.0,181,45,90.0
248,OFBA016C1AJ430010020000196,000196,202001,90.0,180,41,90.0
248,OFBA016C1AJ430010020000197,000197,202001,20.0,290,44,90.0
250,OFBA016C1AJ430010020000198,000198,202001,99.0,189,20,90.0
256,OFBA016C1AJ430010020000199,000199,202001,103.0,13,14,90.0
260,OFBA016C1AJ430010020000200,000200,202001,50.0,320,71,90.0
260,OFBA016C1AJ430010020000201,000201,202001,108.0,18,32,90.0
264,OFBA016C1AJ430010020000202,000202,202001,69.0,159,82,90.0
277,OFBA016C1AJ430010020000203,000203,202001,135.0,225,23,90.0
285,OFBA016C1AJ430010020000204,000204,202001,135.0,225,20,90.0
278,OFBA016C1AJ430010020000205,000205,202001,101.0,191,45,90.0
280,OFBA016C1AJ430010020000206,000206,202001,86.0,176,58,90.0
291,OFBA016C1AJ430010020000207,000207,202001,77.0,347,50,90.0
297,OFBA016C1AJ430010020000208,000208,202001,66.0,336,13,90.0
292,OFBA016C1AJ430010020000209,000209,202001,49.0,139,63,90.0
295,OFBA016C1AJ430010020000210,000210,202001,18.0,288,40,90.0
308,OFBA016C1AJ430010020000211,000211,202001,55.0,325,62,90.0
311,OFBA016C1AJ430010020000212,000212,202001,68.0,158,61,90.0
321,OFBA016C1AJ430010020000213,000213,202001,80.0,350,81,90.0
319,OFBA016C1AJ430010020000214,000214,202004,66.0,336,75,90.0
323,OFBA016C1AJ430010020000215,000215,202001,68.0,158,48,90.0
327,OFBA016C1AJ430010020000216,000216,202001,20.0,110,27,90.0
336,OFBA016C1AJ430010020000217,000217,202001,111.0,201,30,90.0
345,OFBA016C1AJ430010020000218,000218,202001,66.0,336,67,90.0
346,OFBA016C1AJ430010020000219,000219,202001,90.0,0,30,90.0
349,OFBA016C1AJ430010020000220,000220,202001,90.0,0,49,90.0
351,OFBA016C1AJ430010020000221,000221,202001,40.0,130,65,90.0
355,OFBA016C1AJ430010020000222,000222,202001,63.0,333,82,90.0
357,OFBA016C1AJ430010020000223,000223,202001,80.0,170,58,90.0
360,OFBA016C1AJ430010020000224,000224,202001,87.0,357,51,90.0
363,OFBA016C1AJ430010020000225,000225,202001,90.0,180,48,90.0
